antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
{'Sistem Komputer - Jumat - mengerjakan skripsi'},{'Lab. Jaringan Komputer & Komdat (Comlab Lt.2)'},0.0012040939193257074,0.09211318482841661,0.0012040939193257074,1.0,10.856209150326798,1.0,0.001093180993584086,inf,0.9089813140446051,0.013071895424836602,1.0,0.5065359477124183
{'Sistem Komputer - Selasa - skripsi'},{'Lab. Elektronika & Sistem Digital (Comlab Lt.2)'},0.0027092113184828417,0.08579169175195665,0.0027092113184828417,1.0,11.656140350877193,1.0,0.00247678349615665,inf,0.9166918201026261,0.031578947368421054,1.0,0.5157894736842106
{'Sistem Komputer - Senin - skripsi'},{'Lab. Elektronika & Sistem Digital (Comlab Lt.2)'},0.002107164358819988,0.08579169175195665,0.002107164358819988,1.0,11.656140350877193,1.0,0.0019263871636773942,inf,0.9161387631975868,0.02456140350877193,1.0,0.512280701754386
{'Sistem Komputer - Rabu - skripsi'},{'Lab. Elektronika & Sistem Digital (Comlab Lt.2)'},0.0030102347983142685,0.08579169175195665,0.0030102347983142685,1.0,11.656140350877193,1.0,0.0027519816623962773,inf,0.9169685990338164,0.03508771929824561,1.0,0.5175438596491229
{'Sistem Komputer - Selasa - praktikum rangkaian listrik '},{'Lab. Elektronika & Sistem Digital (Comlab Lt.2)'},0.0012040939193257074,0.08579169175195665,0.0012040939193257074,1.0,11.656140350877193,1.0,0.001100792664958511,inf,0.9153104279686558,0.014035087719298246,1.0,0.5070175438596491
{'Manajemen Informatika - Rabu - kuliah praktikum jaringan komputer'},{'Lab. Jaringan Komputer & Komdat (Comlab Lt.2)'},0.002408187838651415,0.09211318482841661,0.002408187838651415,1.0,10.856209150326798,1.0,0.002186361987168172,inf,0.9100784550392275,0.026143790849673203,1.0,0.5130718954248366
{'Teknik Informatika Bilingual - Kamis - pemrograman komputer lanjut'},{'Lab. Pemrograman Dasar (Diklat Lt.3)'},0.0015051173991571343,0.06923540036122817,0.0015051173991571343,1.0,14.443478260869565,1.0,0.0014009099934358395,inf,0.9321676213445885,0.021739130434782608,1.0,0.5108695652173914
{'Teknik Informatika Bilingual - Kamis - pratikum basis data'},{'Lab. Pemrograman Dasar (Diklat Lt.3)'},0.002107164358819988,0.06923540036122817,0.002107164358819988,1.0,14.443478260869565,1.0,0.0019612739908101756,inf,0.9327300150829564,0.030434782608695653,1.0,0.5152173913043478
{'Teknik Informatika Bilingual - Selasa - algoritma dan struktur data lanjut'},{'Lab. Pemrograman Dasar (Diklat Lt.3)'},0.002408187838651415,0.06923540036122817,0.002408187838651415,1.0,14.443478260869565,1.0,0.0022414559894973433,inf,0.9330114665057332,0.034782608695652174,1.0,0.5173913043478261
{'Teknik Informatika Bilingual - Selasa - praktikum pemrograman komputer lanjut'},{'Lab. Pemrograman Dasar (Diklat Lt.3)'},0.0012040939193257074,0.06923540036122817,0.0012040939193257074,1.0,14.443478260869565,1.0,0.0011207279947486716,inf,0.9318866787221217,0.017391304347826087,1.0,0.508695652173913
{'Teknik Informatika Bilingual - Selasa - meminjam kunci untuk belajar'},{'Lab. Pemrograman Dasar (Diklat Lt.3)'},0.0012040939193257074,0.06923540036122817,0.0012040939193257074,1.0,14.443478260869565,1.0,0.0011207279947486716,inf,0.9318866787221217,0.017391304347826087,1.0,0.508695652173913
{'Manajemen Informatika - Rabu - matakuliah praktikum web programming ii'},{'Lab. Pemrograman Internet (Diklat Lt.5)'},0.001806140878988561,0.06923540036122817,0.001806140878988561,1.0,14.443478260869565,1.0,0.0016810919921230075,inf,0.9324487334137516,0.026086956521739132,1.0,0.5130434782608696
{'Manajemen Informatika - Kamis - mata kuliah '},{'Lab. Pemrograman Internet (Diklat Lt.5)'},0.001806140878988561,0.06923540036122817,0.001806140878988561,1.0,14.443478260869565,1.0,0.0016810919921230075,inf,0.9324487334137516,0.026086956521739132,1.0,0.5130434782608696
{'Manajemen Informatika - Rabu - kegiatan belajar kuliah'},{'Lab. Multimedia & Pemrograman Game (Comlab Lt.4)'},0.0012040939193257074,0.0526791089704997,0.0012040939193257074,1.0,18.982857142857142,1.0,0.0011406633245388323,inf,0.9484629294755876,0.022857142857142857,1.0,0.5114285714285715
{'Manajemen Informatika - Senin - kegiatan belajar kuliah'},{'Lab. Multimedia & Pemrograman Game (Comlab Lt.4)'},0.0012040939193257074,0.0526791089704997,0.0012040939193257074,1.0,18.982857142857142,1.0,0.0011406633245388323,inf,0.9484629294755876,0.022857142857142857,1.0,0.5114285714285715
{'Teknik Informatika Bilingual - Selasa - asisten lab '},{'Lab. Multimedia & Pemrograman Game (Comlab Lt.4)'},0.0015051173991571343,0.0526791089704997,0.0015051173991571343,1.0,18.982857142857142,1.0,0.0014258291556735404,inf,0.9487488694603557,0.028571428571428574,1.0,0.5142857142857142
{'Teknik Informatika Bilingual - Rabu - asisten lab '},{'Lab. Multimedia & Pemrograman Game (Comlab Lt.4)'},0.0012040939193257074,0.0526791089704997,0.0012040939193257074,1.0,18.982857142857142,1.0,0.0011406633245388323,inf,0.9484629294755876,0.022857142857142857,1.0,0.5114285714285715
{'Manajemen Informatika - Senin - matakuliah praktikum sistem operasi'},{'Lab. Pemrograman Dasar (Diklat Lt.3)'},0.0027092113184828417,0.06923540036122817,0.0027092113184828417,1.0,14.443478260869565,1.0,0.0025216379881845114,inf,0.9332930878357985,0.0391304347826087,1.0,0.5195652173913043
