antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
{'Komputerisasi Akuntansi - Jumat'},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.021673690547862733,0.08308248043347381,0.00963275135460566,0.4444444444444444,5.349436392914654,1.0,0.007832047383741688,1.650451535219747,0.8310769230769232,0.10126582278481013,0.39410520172174796,0.2801932367149758
{'Komputerisasi Akuntansi - Kamis'},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.012642986152919929,0.08308248043347381,0.006020469596628537,0.47619047619047616,5.731538992408558,1.0,0.0049700589469578865,1.750478900990641,0.8360975609756096,0.06711409395973154,0.42872776162336235,0.2743271221532091
{'Komputerisasi Akuntansi - Selasa'},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.023780854906682723,0.08308248043347381,0.010836845273931367,0.45569620253164556,5.484865162355531,1.0,0.00886107286145562,1.6845693964129203,0.8375989310309384,0.1128526645768025,0.4063764887754847,0.2930654925701706
{'Komputerisasi Akuntansi - Senin'},{'Lab. RPL & Sistem Informasi (Comlab Lt.3)'},0.015352197471402769,0.07495484647802529,0.006923540036122818,0.4509803921568628,6.016694227891961,1.0,0.005772818431553495,1.6849036724864541,0.8467959539032074,0.08303249097472924,0.40649426057438925,0.2716749350342547
{'Komputerisasi Akuntansi - Senin'},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.015352197471402769,0.08308248043347381,0.007826610475617099,0.5098039215686275,6.136118215402104,1.0,0.006551111829588452,1.8705117399157138,0.8500811325635538,0.08637873754152824,0.46538694269566006,0.30200341005967607
{'Sistem Komputer - Rabu'},{'Lab. Elektronika & Sistem Digital (Comlab Lt.2)'},0.0358217940999398,0.08579169175195665,0.015352197471402769,0.42857142857142855,4.995488721804511,1.0,0.012278985153978675,1.599864539434076,0.82953481111458,0.14447592067988668,0.3749470812361823,0.30375939849624056
{'Teknik Informatika Bilingual - Jumat'},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.023178807947019868,0.056592414208308246,0.013245033112582781,0.5714285714285714,10.097264437689969,1.0,0.011933288412390206,2.2012843668472803,0.9223420647149461,0.19909502262443438,0.5457197556750842,0.4027355623100304
{'Teknik Informatika Bilingual - Senin'},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.021372667068031308,0.056592414208308246,0.010836845273931367,0.5070422535211268,8.959544501048846,1.0,0.00962731444648107,1.9137696740345747,0.9077890563587272,0.16143497757847533,0.4774710804713411,0.3492658076116272
